id,event_id,investor_id,founder_id,shares,amount,type,price_per_share,created_at,note
4bc1a19e-c8eb-46da-a98f-f54fb52fc7e9,89dc7382-7469-4396-9d6d-d3552d1660f3,59ed9f04-8ae0-465c-874c-3cb54d385a69,e114d3f2-cdff-458a-bd70-8263e3a4d8a7,100,1001.0010010009864,buy,10.02003004005006,2025-10-29T16:43:51.015365+00:00,Hey hows it going
98b8287d-0863-4930-b869-9f7e5b0485e3,89dc7382-7469-4396-9d6d-d3552d1660f3,59ed9f04-8ae0-465c-874c-3cb54d385a69,e114d3f2-cdff-458a-bd70-8263e3a4d8a7,100,1001.0010010009864,buy,10.02003004005006,2025-10-29T17:02:33.280645+00:00,Strong pitch!
8005286d-47d1-4457-95ac-7bd415eb447a,89dc7382-7469-4396-9d6d-d3552d1660f3,25259e61-c3ea-4632-b65b-124a0ca03038,e114d3f2-cdff-458a-bd70-8263e3a4d8a7,1000,10101.010101010092,buy,10.20304050607081,2025-10-29T22:20:06.44467+00:00,like the pitch
01a40640-f782-409e-bcb9-eb7eb1cb8c16,89dc7382-7469-4396-9d6d-d3552d1660f3,25259e61-c3ea-4632-b65b-124a0ca03038,e114d3f2-cdff-458a-bd70-8263e3a4d8a7,9999,113481.8709902137,buy,12.62438490681255,2025-10-29T22:29:35.149791+00:00,beauty guy
a049404f-97c3-42d2-bca9-da98912b2568,89dc7382-7469-4396-9d6d-d3552d1660f3,71e9fd50-ff7b-4b7b-83e9-e2a4d65d4bcd,e114d3f2-cdff-458a-bd70-8263e3a4d8a7,10000,-111111.11111111101,sell,10,2025-10-30T16:40:22.985026+00:00,Concerns about the GTM
6a5fcb68-a6ed-4d2b-9f76-153e7c94058d,9992807d-612c-4495-ba80-3ad061a7e075,4bd9bd05-13e2-47af-8608-c26b2840daad,c7021c39-46df-46d6-a52d-a793a9186c08,1000,12484.394506866578,buy,12.624668602449187,2025-10-30T23:13:56.016555+00:00,UX is important and I see this here.
dc0f45fd-5a71-4f3e-8477-2c331e1c9595,9992807d-612c-4495-ba80-3ad061a7e075,42200a18-5bae-4868-a8c5-05bdf1c5e841,c7021c39-46df-46d6-a52d-a793a9186c08,10000,183452.57750871405,buy,21.003990758244065,2025-10-30T23:14:08.606494+00:00,More
f4255b92-fd55-4ee8-9038-9ab80354eb5b,9992807d-612c-4495-ba80-3ad061a7e075,5f1bd604-98c4-413a-97a8-b2ed17abcf0a,c7021c39-46df-46d6-a52d-a793a9186c08,1000,21312.872975277016,buy,21.62629757785467,2025-10-30T23:14:14.727406+00:00,Interesting idea
6ed0dd5b-8a52-4dca-a610-f783c303fc96,9992807d-612c-4495-ba80-3ad061a7e075,bd757b8c-23d7-4e11-a91f-19fa2c0763d0,c7021c39-46df-46d6-a52d-a793a9186c08,1100,51209.95149020944,buy,47.67262256631262,2025-10-30T23:14:21.832721+00:00,Abuse
3c9cd3ed-6361-4adc-8dda-f157542b3fe5,9992807d-612c-4495-ba80-3ad061a7e075,94cac545-4aa0-41aa-ae91-12d5c2fee18b,c7021c39-46df-46d6-a52d-a793a9186c08,1000,48736.74360573944,buy,49.82461734693878,2025-10-30T23:14:24.202322+00:00,Great switching between foundrs
6aee16cb-7a4b-420a-a0e8-e56d5b4ca85e,9992807d-612c-4495-ba80-3ad061a7e075,e143b3f8-872e-4bdd-921a-a5af73129281,c7021c39-46df-46d6-a52d-a793a9186c08,40,1994.7657347121276,buy,49.91370917957036,2025-10-30T23:14:32.28071+00:00,Like the connection
a13fe4ba-8714-436e-8d8c-9cd9172d9e64,9992807d-612c-4495-ba80-3ad061a7e075,bd757b8c-23d7-4e11-a91f-19fa2c0763d0,94d218df-a74e-432f-ad07-0a7dcacd66c7,1000,10307.153164296062,buy,10.412328196584756,2025-10-30T23:14:41.822681+00:00,System
